,name,f1,tn,fn,fp,tp,tnr,fnr,fpr,tpr
705,RCP,0.2916666666666667,67,18,50,14,0.788235294117647,0.21176470588235294,0.78125,0.21875
706,RCON,0.0,116,0,69,0,1.0,0.0,1.0,0.0
707,RDFN,0.6222222222222222,30,59,26,70,0.33707865168539325,0.6629213483146067,0.2708333333333333,0.7291666666666666
708,RGR,0.6153846153846153,23,69,21,72,0.25,0.75,0.22580645161290322,0.7741935483870968
709,RHE,0.04819277108433735,104,6,73,2,0.9454545454545454,0.05454545454545454,0.9733333333333334,0.02666666666666667
710,RKDA,0.0,70,0,49,0,1.0,0.0,1.0,0.0
711,RJA,0.24242424242424243,61,10,40,8,0.8591549295774648,0.14084507042253522,0.8333333333333334,0.16666666666666666
712,REGN,0.7241379310344828,0,80,0,105,0.0,1.0,0.0,1.0
713,RILY,0.0,100,0,85,0,1.0,0.0,1.0,0.0
714,RGA,0.5887850467289719,34,57,31,63,0.37362637362637363,0.6263736263736264,0.32978723404255317,0.6702127659574468
715,REXN,0.0,111,0,73,0,1.0,0.0,1.0,0.0
716,RIGL,0.0,101,0,84,0,1.0,0.0,1.0,0.0
717,RETA,0.0,89,0,96,0,1.0,0.0,1.0,0.0
718,RIV,0.0,90,0,95,0,1.0,0.0,1.0,0.0
719,RF,0.0,98,0,87,0,1.0,0.0,1.0,0.0
720,RFM,0.0,54,0,26,0,1.0,0.0,1.0,0.0
721,RJN,0.15584415584415584,108,6,59,6,0.9473684210526315,0.05263157894736842,0.9076923076923077,0.09230769230769231
722,RIF,0.7062937062937062,0,84,0,101,0.0,1.0,0.0,1.0
723,RH,0.6738351254480287,0,91,0,94,0.0,1.0,0.0,1.0
724,RFI,0.4545454545454546,66,36,48,35,0.6470588235294118,0.35294117647058826,0.5783132530120482,0.42168674698795183
725,REML,0.7152777777777777,0,82,0,103,0.0,1.0,0.0,1.0
726,RODI,0.6,1,11,1,9,0.08333333333333333,0.9166666666666666,0.1,0.9
727,RNWK,0.0,103,0,82,0,1.0,0.0,1.0,0.0
